text,label
"Those conflicts, including a widening armed rebellion in the north and a violent separatist movement in the south, in turn make it more difficult to address the water crisis in an organized way.",1
I was happy to hear that you're gonna be co-chairing the NGA Education Committee.,0
I was pleased to see of your appointment to co - chair the NGA Education Committee.,1
i can't.,0
I am unable to do so.,1
"""They were all around us,"" said Ajay Bhushari, 31, who made it through the attack and is now in charge in Laheri.",0
"""They surrounded us from every side,"" said Ajay Bhushari, 31, who survived the ambush and is now the commanding officer in Laheri.",1
"depents where your from, usa, europe, japan, china?",0
"It depends on your country of origin, such as the United States, Europe, Japan, or China.",1
"Just keep doing great, and if you need any help, just give us a shout.",0
Keep up the good work and if we may be of any assistance to you please let us know.,1
the northern exposure cd series of theirs are my personal favorites.,0
The Northern Exposure CD series by them are my personal favorites.,1
"Kirk hasn't given many speeches, focused on a few specific issues in his press releases, and avoided most interview requests.",0
"Kirk has given few speeches, limited his press releases to a few nuts-and-bolts issues, and shunned almost all requests for interviews.",1
Stale McDonald's French fries.,0
The McDonald's French fries are no longer fresh.,1
"So, turns out Miliband has been having secret chats with some big shots in Brussels about going for the job.",0
It emerged last night that Miliband has held secret talks with senior politicians in Brussels about running for the job.,1
Also on Facebook here.,0
"Additionally, it is available on Facebook.",1
"The coroner, Frank Miller, said two bodies were black females, and one was killed in a violent homicide.",0
Cuyahoga County Coroner Frank Miller identified two bodies as black females and said one had died of a violent death ruled a homicide.,1
Why can't you just BE???,0
Why are you unable to simply exist?,1
clear our mind.,0
We should clear our minds.,1
I play tennis with one occasionally.,0
I occasionally engage in playing tennis with someone.,1
"Sen. Jack Scott, a Democrat who heads the education subcommittee of the Budget and Fiscal Review Committee, said he'll do his best to lessen the cuts.",0
"State Sen. Jack Scott, a Democrat and the chairman of the education subcommittee of the Budget and Fiscal Review Committee, has promised to try to help mitigate the cuts.",1
"We need to stop the tragic rate of homeless pets being put down in Florida, not just keep giving money to government animal control agencies without seeing any real change.",0
"Our goal is STOP this tragic homeless pet euthanasia rate in Florida, not to just throw money at the problem, by sending money to government animal control agencies in a cycle of ineffectiveness.",1
"Some evidence suggests they've been in Mexico for at least part of the last 14 years, a place known for sheltering American children.",0
"Some evidence indicates they have spent at least some of the past 14 years in Mexico, a country that has shown itself as a haven for hiding American kids.",1
go to your old high school and ask about it.,0
Please visit your former high school and inquire about it.,1
I know I'm gonna end up (going to court).,0
I am aware that I will eventually be summoned to court.,1
"The 327-foot-tall Ares I-X test rocket is slowly moving to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., on Tuesday, Oct. 20, 2009.",0
"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009.",1
but reduce it and get exercise.,0
"However, it is advisable to decrease the portion size and engage in physical activity.",1
"You gotta be good at legal stuff, fit in with the company culture, show leadership and business skills, and know how to handle client needs.",0
"Those competencies include mastering fundamental legal skills, support of the firm's culture, demonstration of leadership and business skills, and understanding and effectively managing client needs.",1
"""Yup.""",0
"""Yes, that is correct.""",1
One is sad and one is kinda funny/effective.,0
One situation evokes sadness while the other is somewhat humorous or impactful.,1
"Greenland is like, part of Denmark.",0
Greenland is a dependant territory of Denmark.,1
"Absolutely - my mother's been ""Santa"" my whole life!!!",0
"Certainly - my mother has been portraying ""Santa"" throughout my entire life!!!",1
what is Mugen?,0
What is the definition of Mugen?,1
AdMob just spilled the tea on all the crazy changes happening in the mobile industry in their latest Mobile Metrics Report.,0
Mobile ad firm AdMob has revealed the dramatic changes the mobile industry has seen in their latest Mobile Metrics Report.,1
take a fork and stick it at da ends.,0
Please take a fork and insert it at the ends.,1
"NASA's new Ares 1-X test vehicle separates its first and upper stages about two minutes after launching from Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",0
"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",1
Yoga just seems like its just breathing exercises for pregnant women!,0
Yoga appears to primarily consist of breathing exercises designed for expectant mothers.,1
Osceola County needs to reach out to people.,0
Osceola County needs an outreach.,1
"So, it has words like Tarrarrattat that are seen as ""nonce words"".",0
"Therefore it contains words like Tarrarrattat that are considered ""nonce words"".",1
that it's obvious,0
It is evident.,1
Make sure to ask your doctor before you start any weight loss program.,0
Check with your doctor before starting any weight loss program.,1
That's how we pass on our traits to our kids: through DNA.,0
That's how we pass our traits to the next generation: through DNA,1
Why do we gotta deal with all those painful feelings?,0
Why do we have all those painful feelings?,1
"I'm writing to you again, hoping you can get back to me.",0
so I write you again in a hope that you can reply to me.,1
"They didn't register, that means they would like cash!",0
"They did not register; therefore, it can be inferred that they prefer to receive cash.",1
"""He was basically told what to do and it was up to him to get it done,"" said someone who was there.",0
"""Basically, he was told what needed to be done and that it was up to him to do it,"" said one person who was there.",1
These two facts grate on feminists.,0
These two facts are a source of irritation for feminists.,1
lol nothing worrying about that.,0
There is nothing of concern regarding that matter.,1
"Yeah, only two of them have been identified as women.",0
"Indeed only two have had their sex determined, both of them being women.",1
"That total would cover everything, like cash donations and other stuff like printing, postage, and staff time.",0
"That total would include direct cash donations as well as in-kind donations such as the value of printing, postage and staff time.",1
The trip is quicker on water.,0
The journey is faster when traveling by water.,1
Burma still has loads of political prisoners.,0
Burma is still holding hundreds of political prisoners.,1
"I'm from Texas originally, and I worked at Southwest Research Institute in San Antonio for 21 years, overseeing international programs.",0
"Originally from Texas, I worked for 21 years for Southwest Research Institute in San Antonio, where I was in charge of international programs.",1
"Originally from Augusta, I follow the news there.",0
"I am originally from Augusta, and I keep up with the news from that area.",1
I still live with my mom and I'm 23... Why not?,0
I am currently residing with my mother despite being 23 years old. What is the issue with that?,1
"But, we've noticed a few times when the DROID slows down.",0
"On the downside, we've found a few moments where the DROID seems to bog down.",1
don't treat them as if they are criminals.,0
Do not regard them as criminals.,1
Order an electronic pizza by e - mail.,0
Please place an order for an electronic pizza via email.,1
The Respiratory System helps you breathe.,0
The Respiratory System is involved with Breathing.,1
So no evolution is not correct.,0
"Therefore, the assertion that there is no evolution is inaccurate.",1
The ancient world's history of styles.,0
HISTORY OF STYLES Ancient World.,1
God made the universe and us humans as his best creation.,0
"God created the universe, and mankind as the pinnacle of his creation.",1
com) if you don't have these stores near you.,0
Please consider purchasing from our website if you do not have access to these physical stores.,1
